_id,AREA_NAME,HOOD_ID,ASSAULT_2025,ASSAULT_RATE_2025,AUTOTHEFT_2025,AUTOTHEFT_RATE_2025,BREAKENTER_2025,BREAKENTER_RATE_2025,HOMICIDE_2025,HOMICIDE_RATE_2025,ROBBERY_2025,ROBBERY_RATE_2025,SHOOTING_2025,SHOOTING_RATE_2025,THEFTFROMMV_2025,THEFTFROMMV_RATE_2025,THEFTOVER_2025,THEFTOVER_RATE_2025,POPULATION_2025
106,Trinity-Bellwoods,81,162,946.704040527344,13,75.9700775146484,60,350.631134033203,0,0.0,10,58.4385223388672,1,5.84385226741468,48,280.504913330078,12,70.1262283325195,17112
107,Don Valley Village,47,175,563.316833496094,64,206.013000488281,29,93.3496398925781,0,0.0,32,103.006500244141,0,0.0,49,157.728713989258,14,45.0653457641602,31066
108,Pleasant View,46,62,375.007568359375,21,127.018692016602,15,90.7276382446289,0,0.0,8,48.3880729675293,0,0.0,31,187.503784179688,10,60.4850921630859,16533
109,Flemingdon Park,44,157,596.028991699219,62,235.37451171875,16,60.7418098449707,0,0.0,10,37.9636306762695,3,11.38908925249611,53,201.207244873047,7,26.5745410919189,26341
110,Victoria Village,43,116,591.173156738281,56,285.393951416016,41,208.949142456055,0,0.0,4,20.3852825164795,0,0.0,35,178.371215820313,6,30.5779228210449,19622
111,Banbury-Don Mills,42,132,404.945251464844,72,220.87922668457,81,248.489120483398,0,0.0,33,101.236312866211,3,9.203300917262325,69,211.675918579102,22,67.4908752441406,32597
112,Bridle Path-Sunnybrook-York Mills,41,24,205.937881469727,23,197.357131958008,47,403.295013427734,0,0.0,6,51.4844703674316,2,17.16148961729878,19,163.034149169922,4,34.3229789733887,11654
113,St.Andrew-Windfields,40,115,614.841735839844,38,203.165100097656,72,384.944396972656,0,0.0,20,106.929000854492,1,5.3464499572284,41,219.204452514648,8,42.771598815918,18704
114,Bedford Park-Nortown,39,58,230.113067626953,38,150.763732910156,63,249.950408935547,0,0.0,15,59.5120010375977,0,0.0,50,198.373336791992,17,67.4469375610352,25205
115,Lansing-Westgate,38,110,603.103210449219,41,224.793029785156,19,104.172378540039,0,0.0,9,49.3448104858398,1,5.482756730083886,35,191.896484375,8,43.8620529174805,18239
